year,naics,top_coe,ii_coe,gos_coe,enepsi_coe
2008,61,0.05332302936630603,0.6916537867078825,0.24343122102009274,0.5595054095826894
2008,62,0.02849866601988843,0.7570943487751637,0.20494785350472955,0.5150375939849624
2008,621,0.019896429544835104,0.7211774325429273,0.29081493594985014,0.5153992913600436
2008,622,0.036674816625916866,0.8002095703807195,0.1505413901501921,0.491791826755152
2008,623,0.041584158415841586,0.701980198019802,0.05247524752475247,0.5495049504950495
2008,624,0.01991465149359886,0.8477951635846374,0.197724039829303,0.5576102418207682
2008,7,0.22305613929750823,1.3080156109276493,0.40618432903032126,1.0162113479435604
2008,71,0.19106699751861045,1.295285359801489,0.5843672456575683,1.1066997518610422
2008,711AS,0.1715686274509804,1.232843137254902,0.8259803921568629,1.144607843137255
2008,713,0.2130325814536341,1.3533834586466167,0.33583959899749377,1.0701754385964914
