year,naics,y_w
2016,511,2.249963972446127
2016,512,3.1396829652468248
2016,513,4.777229951338721
2016,514,3.6404118548417235
2016,52,2.330950112233087
2016,521,2.8392364522711815
2016,523,1.36238553148553
2016,524,2.6407029132321242
2016,525,13.651570489408327
2016,53,20.545434276371203
2016,531,24.79778032912361
2016,532,7.426002766251729
2016,54,1.7018614053805945
2016,5411,2.337719257519059
2016,5415,1.3972704509809317
2016,5412,1.697688558312982
2016,55,1.3392501393012801
2016,56,1.5939865696825977
2016,561,1.5617543752481597
2016,562,2.0442870552094887
2016,61,1.6269499233250488
2016,62,1.5046262057834796
2016,621,1.5818608737173203
2016,622,1.4559109298075579
2016,624,1.3558577975407233
2016,71,2.25029084622661
2016,711,2.525241031158191
2016,713,1.9457366117463737
2016,72,1.865185917264571
2016,721,2.3261962904820046
2016,722,1.734587066807221
2016,81,1.5764493924890994
2017,11,3.901676644061057
2017,111,5.55325138778747
2017,113,1.8240810015462119
2017,21,4.281462385751113
2017,211,7.27034677990092
2017,212,3.9482166631630577
2017,213,1.6742114883521955
2017,22,5.117114143797752
2017,23,1.82493315309257
2017,31-33,2.5798128697831393
2017,33,2.1924976819884696
2017,321,2.073304218033059
2017,327,2.52346883917125
2017,331,2.3063190039934227
2017,332,1.8310019877788413
2017,333,1.9766868765890866
2017,334,2.207328422480559
2017,335,2.262609483539716
2017,3361,2.614067653347034
2017,3364,2.405949562205025
2017,337,1.638192339487462
2017,339,2.3131194140695026
2017,31-33,3.337351670929599
2017,311,2.901191165070804
2017,313,1.7605729877216916
2017,315,1.462637874786391
2017,322,2.2074053340797315
2017,323,1.830114075353361
2017,324,10.120483795937355
2017,325,4.527295238335881
2017,326,1.996832835513441
2017,42,2.543996169302822
2017,44-45,2.122239437143881
2017,48-49,2.1382807463743356
2017,481,3.001574059499449
2017,482,2.4630438685738225
2017,483,2.312045414227426
2017,484,2.047128728455626
2017,485,2.4212554182051695
2017,486,6.389827856025039
2017,487,1.609925996524079
2017,493,1.4038288288288288
2017,51,3.351290632249807
2017,511,2.1624262760087865
2017,512,3.144689997984819
2017,513,4.757902075400869
2017,514,3.5546484152204023
2017,52,2.26360798356975
2017,521,2.791660162086699
2017,523,1.4277168634847355
2017,524,2.443752806148025
2017,525,12.668922729836435
2017,53,20.1869940762336
2017,531,24.355064743484675
2017,532,7.211187651486159
2017,54,1.6946402999468368
2017,5411,2.3091346842331375
2017,5415,1.3913218573007617
2017,5412,1.69880810766683
2017,55,1.3377162430970966
2017,56,1.625751091514287
2017,561,1.588831854662234
2017,562,2.133009438094859
2017,61,1.5813915002768744
2017,62,1.4943672547832492
2017,621,1.5732042672278492
2017,622,1.4456293848677704
2017,624,1.3378524945770065
2017,71,2.2440074265384657
2017,711,2.525277001543783
2017,713,1.9258792581294073
2017,72,1.8438411487547677
2017,721,2.315228981734085
2017,722,1.711704262694725
2017,81,1.5678567103629923
2018,11,3.99679931957563
2018,111,5.90515281636777
2018,113,1.8303383674249665
2018,21,4.6861534102981794
2018,211,8.797820922421561
2018,212,3.8991343126967473
2018,213,1.8289528981993342
2018,22,5.1783455888268515
2018,23,1.8050510016237946
2018,31-33,2.619343389529725
2018,33,2.183299534044588
2018,321,2.106320789185239
2018,327,2.4922141892428695
2018,331,2.368091647756387
2018,332,1.8232208002779546
2018,333,1.972891417873682
2018,334,2.223655735603496
2018,335,2.3152122426671524
2018,3361,2.4884953262262792
2018,3364,2.3757938045973583
2018,337,1.663164700177792
2018,339,2.3072670792260843
2018,31-33,3.4945951833145004
2018,311,2.7451953470729547
2018,313,1.6737937012424156
2018,315,1.4948107935494173
2018,322,2.3737177710008317
2018,323,1.791873813612944
2018,324,13.589693801344287
2018,325,4.651136097157597
2018,326,2.003434812691509
2018,42,2.602047065750652
2018,44-45,2.1154421509461865
2018,48-49,2.1283385555330243
2018,481,2.9987654855756736
2018,482,2.5174247567322925
2018,483,2.4602360184710106
2018,484,2.0309021230001827
2018,485,2.287720168692632
2018,486,7.163712686567164
2018,487,1.6046957852021833
2018,493,1.4060673753914275
2018,51,3.263813052221822
2018,511,2.154497018015992
2018,512,2.7186075826626586
