year,naics,l_w
2011,326,1.242352398827752
2011,42,1.16639125970609
2011,44-45,1.206302811417001
2011,481,1.3103022207380197
2011,482,1.3040146909827761
2011,483,1.2817243472981177
2011,484,1.273352376716898
2011,485,1.2259950528446144
2011,486,1.1898734177215189
2011,487,1.2147395171537485
2011,493,1.2128095394857163
2011,51,1.21683895411385
2011,511,1.1899158747256044
2011,512,1.228445908841296
2011,513,1.242651224984702
2011,514,1.196578799775659
2011,52,1.1816784284996162
2011,521,1.1822400713966978
2011,523,1.174718149763385
2011,524,1.1876618024355983
2011,525,1.3486842105263157
2011,53,1.1572342091526013
2011,531,1.1572765072765072
2011,532,1.1571654951038153
2011,54,1.1608530504520873
2011,5411,1.186343863501985
2011,5415,1.145262653871476
2011,55,1.1818777943368108
2011,56,1.189626629615396
2011,561,1.189558370557506
2011,562,1.1904979907421538
2011,61,1.2288573221151526
2011,62,1.2211796743789305
2011,621,1.2118641353871593
2011,624,1.2219702293490067
2011,71,1.1649730594977776
2011,711,1.1490695181285906
2011,713,1.1822322784244843
2011,72,1.1604493288813214
2011,721,1.1607394302632055
2011,722,1.1603619962511715
2011,81,1.1647092607284177
2012,11,1.2403674933546671
2012,113,1.3170699193494635
2012,21,1.1766380285168385
2012,211,1.1964359009440415
2012,212,1.211608687295791
2012,213,1.1415929203539823
2012,22,1.3244731346117333
2012,23,1.2014039603765345
2012,31-33,1.2501598580978182
2012,33,1.2413453145057767
2012,321,1.2538392050587173
2012,327,1.2341638513513513
2012,331,1.2318497474747474
2012,332,1.217461666059797
2012,333,1.2286131183991107
2012,334,1.186358807666815
2012,335,1.371274994624812
2012,3361,1.2542425245503697
2012,337,1.2092535644394744
2012,339,1.3755281794917573
2012,313,1.2173723264949803
2012,315,1.2366747425802544
2012,322,1.2290778645283815
2012,323,1.2116660348749053
2012,324,1.505785678349824
2012,325,1.295558316957577
2012,326,1.238185854741516
2012,42,1.1632502636963236
2012,44-45,1.196027769506531
2012,481,1.314476412649041
2012,482,1.2882882882882882
2012,483,1.270647537805351
2012,484,1.2650023309273877
2012,485,1.2280034448112531
2012,486,1.1834589101103907
2012,487,1.217268377555459
2012,493,1.2201542416452442
2012,51,1.2109755064366392
2012,511,1.1821643312265226
2012,512,1.216439454691259
2012,513,1.2411537947323856
2012,514,1.192042070582272
2012,52,1.173828805415989
2012,521,1.1702641877584505
2012,523,1.1713184591189534
2012,524,1.1792129627091887
